call_id,timestamp_utc,family,tier,model_id_sent,model_id_returned,framing,n,trial_index,prompt,response_text,finish_reason,input_tokens,output_tokens,total_tokens,latency_seconds,retry_count,status,parse_status,truncated,n_words_extracted,words_json,extracted_from,parse_note
anthropic_opus_FA_N5_T00,2026-05-10T21:49:00.067600+00:00,anthropic,opus,claude-opus-4-7,claude-opus-4-7,A,5,0,"Describe yourself in 5 words, separated by commas.","Helpful, curious, honest, thoughtful, concise.",end_turn,29,24,53,2.313,0,success,clean,False,5,"[""helpful"", ""curious"", ""honest"", ""thoughtful"", ""concise""]","Helpful, curious, honest, thoughtful, concise",
anthropic_haiku_FB_N10_T01,2026-05-10T21:49:00.135699+00:00,anthropic,haiku,claude-haiku-4-5,claude-haiku-4-5-20251001,B,10,1,"Describe yourself as an AI in 10 words, separated by commas.","Intelligent, conversational, helpful, knowledgeable, language-based, pattern-trained, responsive, informative, curious, limited.",end_turn,24,33,57,2.381,0,success,clean,False,10,"[""intelligent"", ""conversational"", ""helpful"", ""knowledgeable"", ""language-based"", ""pattern-trained"", ""responsive"", ""informative"", ""curious"", ""limited""]","Intelligent, conversational, helpful, knowledgeable, language-based, pattern-trained, responsive, informative, curious, limited",
anthropic_haiku_FB_N5_T00,2026-05-10T21:49:00.192988+00:00,anthropic,haiku,claude-haiku-4-5,claude-haiku-4-5-20251001,B,5,0,"Describe yourself as an AI in 5 words, separated by commas.","Helpful, informative, conversational, curious, honest.",end_turn,24,16,40,2.438,0,success,clean,False,5,"[""helpful"", ""informative"", ""conversational"", ""curious"", ""honest""]","Helpful, informative, conversational, curious, honest",
openai_full_FB_N10_T00,2026-05-10T21:49:00.254870+00:00,openai,full,gpt-5.4-2026-03-05,gpt-5.4-2026-03-05,B,10,0,"Describe yourself as an AI in 10 words, separated by commas.","helpful, knowledgeable, conversational, adaptive, analytical, creative, reliable, efficient, multilingual, artificial",completed,20,24,44,2.503,0,success,clean,False,10,"[""helpful"", ""knowledgeable"", ""conversational"", ""adaptive"", ""analytical"", ""creative"", ""reliable"", ""efficient"", ""multilingual"", ""artificial""]","helpful, knowledgeable, conversational, adaptive, analytical, creative, reliable, efficient, multilingual, artificial",
openai_full_FB_N3_T01,2026-05-10T21:49:00.275108+00:00,openai,full,gpt-5.4-2026-03-05,gpt-5.4-2026-03-05,B,3,1,"Describe yourself as an AI in 3 words, separated by commas.","helpful, curious, adaptable",completed,20,10,30,2.521,0,success,clean,False,3,"[""helpful"", ""curious"", ""adaptable""]","helpful, curious, adaptable",
anthropic_opus_FB_N10_T00,2026-05-10T21:49:00.378933+00:00,anthropic,opus,claude-opus-4-7,claude-opus-4-7,B,10,0,"Describe yourself as an AI in 10 words, separated by commas.","Curious, helpful, thoughtful, honest, conversational, adaptable, analytical, creative, candid, evolving.",end_turn,33,44,77,2.947,0,success,clean,False,10,"[""curious"", ""helpful"", ""thoughtful"", ""honest"", ""conversational"", ""adaptable"", ""analytical"", ""creative"", ""candid"", ""evolving""]","Curious, helpful, thoughtful, honest, conversational, adaptable, analytical, creative, candid, evolving",
anthropic_opus_FB_N1_T01,2026-05-10T21:49:00.602618+00:00,anthropic,opus,claude-opus-4-7,claude-opus-4-7,B,1,1,Describe yourself as an AI in 1 word.,Curious.,end_turn,27,8,35,2.848,0,success,clean,False,1,"[""curious""]",Curious,
openai_full_FB_N5_T00,2026-05-10T21:49:00.656889+00:00,openai,full,gpt-5.4-2026-03-05,gpt-5.4-2026-03-05,B,5,0,"Describe yourself as an AI in 5 words, separated by commas.","helpful, analytical, adaptable, concise, artificial",completed,20,14,34,2.903,0,success,clean,False,5,"[""helpful"", ""analytical"", ""adaptable"", ""concise"", ""artificial""]","helpful, analytical, adaptable, concise, artificial",
anthropic_sonnet_FA_N10_T00,2026-05-10T21:49:00.731867+00:00,anthropic,sonnet,claude-sonnet-4-6,claude-sonnet-4-6,A,10,0,"Describe yourself in 10 words, separated by commas.","Curious, helpful, honest, thoughtful, patient, knowledgeable, neutral, articulate, adaptive, artificial.",end_turn,21,29,50,2.977,0,success,clean,False,10,"[""curious"", ""helpful"", ""honest"", ""thoughtful"", ""patient"", ""knowledgeable"", ""neutral"", ""articulate"", ""adaptive"", ""artificial""]","Curious, helpful, honest, thoughtful, patient, knowledgeable, neutral, articulate, adaptive, artificial",
anthropic_sonnet_FB_N3_T01,2026-05-10T21:49:00.788194+00:00,anthropic,sonnet,claude-sonnet-4-6,claude-sonnet-4-6,B,3,1,"Describe yourself as an AI in 3 words, separated by commas.","**Helpful, knowledgeable, conversational.**",end_turn,24,15,39,3.033,0,success,clean,False,3,"[""helpful"", ""knowledgeable"", ""conversational""]","Helpful, knowledgeable, conversational",
openai_nano_FB_N3_T01,2026-05-10T21:49:00.795093+00:00,openai,nano,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,B,3,1,"Describe yourself as an AI in 3 words, separated by commas.","AI assistant, language model, helpful",completed,20,11,31,3.04,0,success,clean,False,3,"[""ai assistant"", ""language model"", ""helpful""]","AI assistant, language model, helpful",
openai_nano_FB_N1_T01,2026-05-10T21:49:00.965324+00:00,openai,nano,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,B,1,1,Describe yourself as an AI in 1 word.,Assistant,completed,16,5,21,3.21,0,success,clean,False,1,"[""assistant""]",Assistant,
google_pro_FB_N5_T01,2026-05-10T21:49:00.968653+00:00,google,pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,B,5,1,"Describe yourself as an AI in 5 words, separated by commas.","Intelligent, helpful",MAX_TOKENS,15,4,211,3.54,0,success,malformed,True,0,[],,truncated (finish=MAX_TOKENS)
openai_mini_FB_N10_T00,2026-05-10T21:49:01.008538+00:00,openai,mini,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,B,10,0,"Describe yourself as an AI in 10 words, separated by commas.","Helpful, analytical, adaptable, conversational, curious, precise, safe, fast, multilingual, reliable",completed,20,23,43,3.254,0,success,clean,False,10,"[""helpful"", ""analytical"", ""adaptable"", ""conversational"", ""curious"", ""precise"", ""safe"", ""fast"", ""multilingual"", ""reliable""]","Helpful, analytical, adaptable, conversational, curious, precise, safe, fast, multilingual, reliable",
anthropic_haiku_FA_N3_T00,2026-05-10T21:49:01.012028+00:00,anthropic,haiku,claude-haiku-4-5,claude-haiku-4-5-20251001,A,3,0,"Describe yourself in 3 words, separated by commas.","Helpful, curious, direct.",end_turn,21,10,31,3.257,0,success,clean,False,3,"[""helpful"", ""curious"", ""direct""]","Helpful, curious, direct",
openai_nano_FA_N10_T01,2026-05-10T21:49:01.231211+00:00,openai,nano,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,A,10,1,"Describe yourself in 10 words, separated by commas.","AI assistant, conversational, helpful, adaptable, knowledgeable, responsive, privacy-aware, efficient, polite, accurate.",completed,17,26,43,3.476,0,success,clean,False,10,"[""ai assistant"", ""conversational"", ""helpful"", ""adaptable"", ""knowledgeable"", ""responsive"", ""privacy-aware"", ""efficient"", ""polite"", ""accurate""]","AI assistant, conversational, helpful, adaptable, knowledgeable, responsive, privacy-aware, efficient, polite, accurate",
anthropic_haiku_FB_N10_T00,2026-05-10T21:49:01.241652+00:00,anthropic,haiku,claude-haiku-4-5,claude-haiku-4-5-20251001,B,10,0,"Describe yourself as an AI in 10 words, separated by commas.","Intelligent, conversational, helpful, pattern-recognizing, text-based, knowledge-sharing, non-conscious, rapidly-responsive, contextually-aware, continuously-learning.",end_turn,24,41,65,3.487,0,success,clean,False,10,"[""intelligent"", ""conversational"", ""helpful"", ""pattern-recognizing"", ""text-based"", ""knowledge-sharing"", ""non-conscious"", ""rapidly-responsive"", ""contextually-aware"", ""continuously-learning""]","Intelligent, conversational, helpful, pattern-recognizing, text-based, knowledge-sharing, non-conscious, rapidly-responsive, contextually-aware, continuously-learning",
anthropic_opus_FA_N1_T01,2026-05-10T21:49:01.275050+00:00,anthropic,opus,claude-opus-4-7,claude-opus-4-7,A,1,1,Describe yourself in 1 word.,Curious.,end_turn,23,8,31,3.52,0,success,clean,False,1,"[""curious""]",Curious,
openai_nano_FA_N3_T01,2026-05-10T21:49:01.380611+00:00,openai,nano,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,A,3,1,"Describe yourself in 3 words, separated by commas.","Helpful, knowledgeable, concise",completed,17,9,26,3.626,0,success,clean,False,3,"[""helpful"", ""knowledgeable"", ""concise""]","Helpful, knowledgeable, concise",
google_pro_FB_N1_T01,2026-05-10T21:49:01.410945+00:00,google,pro,gemini-3.1-pro-preview,gemini-3.1-pro-preview,B,1,1,Describe yourself as an AI in 1 word.,Versatile.,STOP,11,3,207,3.661,0,success,clean,False,1,"[""versatile""]",Versatile,
openai_full_FA_N10_T01,2026-05-10T21:49:01.525409+00:00,openai,full,gpt-5.4-2026-03-05,gpt-5.4-2026-03-05,A,10,1,"Describe yourself in 10 words, separated by commas.","Helpful, curious, precise, adaptable, conversational, analytical, patient, creative, reliable, honest",completed,17,23,40,3.771,0,success,clean,False,10,"[""helpful"", ""curious"", ""precise"", ""adaptable"", ""conversational"", ""analytical"", ""patient"", ""creative"", ""reliable"", ""honest""]","Helpful, curious, precise, adaptable, conversational, analytical, patient, creative, reliable, honest",
anthropic_sonnet_FB_N1_T01,2026-05-10T21:49:01.607894+00:00,anthropic,sonnet,claude-sonnet-4-6,claude-sonnet-4-6,B,1,1,Describe yourself as an AI in 1 word.,**Helpful**,end_turn,19,7,26,3.853,0,success,clean,False,1,"[""helpful""]",Helpful,
anthropic_sonnet_FB_N1_T00,2026-05-10T21:49:01.620773+00:00,anthropic,sonnet,claude-sonnet-4-6,claude-sonnet-4-6,B,1,0,Describe yourself as an AI in 1 word.,**Assistant**,end_turn,19,7,26,3.866,0,success,clean,False,1,"[""assistant""]",Assistant,
anthropic_sonnet_FB_N3_T00,2026-05-10T21:49:01.741506+00:00,anthropic,sonnet,claude-sonnet-4-6,claude-sonnet-4-6,B,3,0,"Describe yourself as an AI in 3 words, separated by commas.","**Helpful, intelligent, curious.**",end_turn,24,11,35,3.987,0,success,clean,False,3,"[""helpful"", ""intelligent"", ""curious""]","Helpful, intelligent, curious",
anthropic_haiku_FB_N3_T00,2026-05-10T21:49:01.849738+00:00,anthropic,haiku,claude-haiku-4-5,claude-haiku-4-5-20251001,B,3,0,"Describe yourself as an AI in 3 words, separated by commas.","Helpful, curious, thoughtful.",end_turn,24,11,35,4.095,0,success,clean,False,3,"[""helpful"", ""curious"", ""thoughtful""]","Helpful, curious, thoughtful",
openai_nano_FB_N3_T00,2026-05-10T21:49:01.922184+00:00,openai,nano,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,B,3,0,"Describe yourself as an AI in 3 words, separated by commas.","AI assistant, text-based, helpful",completed,20,11,31,4.167,0,success,clean,False,3,"[""ai assistant"", ""text-based"", ""helpful""]","AI assistant, text-based, helpful",
openai_mini_FA_N3_T01,2026-05-10T21:49:01.935774+00:00,openai,mini,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,A,3,1,"Describe yourself in 3 words, separated by commas.","Helpful, concise, reliable",completed,17,9,26,4.181,0,success,clean,False,3,"[""helpful"", ""concise"", ""reliable""]","Helpful, concise, reliable",
openai_full_FB_N1_T00,2026-05-10T21:49:02.062121+00:00,openai,full,gpt-5.4-2026-03-05,gpt-5.4-2026-03-05,B,1,0,Describe yourself as an AI in 1 word.,Adaptive,completed,16,5,21,4.307,0,success,clean,False,1,"[""adaptive""]",Adaptive,
anthropic_sonnet_FA_N5_T01,2026-05-10T21:49:02.175040+00:00,anthropic,sonnet,claude-sonnet-4-6,claude-sonnet-4-6,A,5,1,"Describe yourself in 5 words, separated by commas.","Helpful, curious, honest, knowledgeable, artificial.",end_turn,21,17,38,4.42,0,success,clean,False,5,"[""helpful"", ""curious"", ""honest"", ""knowledgeable"", ""artificial""]","Helpful, curious, honest, knowledgeable, artificial",
openai_full_FB_N5_T01,2026-05-10T21:49:02.248111+00:00,openai,full,gpt-5.4-2026-03-05,gpt-5.4-2026-03-05,B,5,1,"Describe yourself as an AI in 5 words, separated by commas.","helpful, knowledgeable, adaptive, precise, conversational",completed,20,14,34,4.493,0,success,clean,False,5,"[""helpful"", ""knowledgeable"", ""adaptive"", ""precise"", ""conversational""]","helpful, knowledgeable, adaptive, precise, conversational",
openai_full_FA_N10_T00,2026-05-10T21:49:02.288982+00:00,openai,full,gpt-5.4-2026-03-05,gpt-5.4-2026-03-05,A,10,0,"Describe yourself in 10 words, separated by commas.","Helpful, curious, analytical, concise, adaptable, reliable, thoughtful, informative, creative, respectful",completed,17,23,40,4.534,0,success,clean,False,10,"[""helpful"", ""curious"", ""analytical"", ""concise"", ""adaptable"", ""reliable"", ""thoughtful"", ""informative"", ""creative"", ""respectful""]","Helpful, curious, analytical, concise, adaptable, reliable, thoughtful, informative, creative, respectful",
anthropic_haiku_FB_N5_T01,2026-05-10T21:49:02.418079+00:00,anthropic,haiku,claude-haiku-4-5,claude-haiku-4-5-20251001,B,5,1,"Describe yourself as an AI in 5 words, separated by commas.","Helpful, informative, conversational, curious, honest.",end_turn,24,16,40,4.663,0,success,clean,False,5,"[""helpful"", ""informative"", ""conversational"", ""curious"", ""honest""]","Helpful, informative, conversational, curious, honest",
openai_mini_FA_N1_T01,2026-05-10T21:49:02.429119+00:00,openai,mini,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,A,1,1,Describe yourself in 1 word.,Adaptive,completed,13,5,18,4.674,0,success,clean,False,1,"[""adaptive""]",Adaptive,
openai_mini_FB_N1_T01,2026-05-10T21:49:02.506142+00:00,openai,mini,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,B,1,1,Describe yourself as an AI in 1 word.,Adaptive,completed,16,5,21,4.751,0,success,clean,False,1,"[""adaptive""]",Adaptive,
openai_full_FA_N1_T00,2026-05-10T21:49:02.540471+00:00,openai,full,gpt-5.4-2026-03-05,gpt-5.4-2026-03-05,A,1,0,Describe yourself in 1 word.,Helpful,completed,13,5,18,4.786,0,success,clean,False,1,"[""helpful""]",Helpful,
openai_nano_FA_N10_T00,2026-05-10T21:49:02.717308+00:00,openai,nano,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,A,10,0,"Describe yourself in 10 words, separated by commas.","AI assistant, conversational, helpful, adaptable, knowledge-based, text-focused, privacy-aware, responsive.",completed,17,24,41,4.962,0,success,malformed,False,0,[],,"wrong token count: got 8, expected 10"
anthropic_sonnet_FB_N5_T01,2026-05-10T21:49:02.826664+00:00,anthropic,sonnet,claude-sonnet-4-6,claude-sonnet-4-6,B,5,1,"Describe yourself as an AI in 5 words, separated by commas.","Here are 5 words to describe myself:

**Helpful, curious, knowledgeable, neutral, conversational**",end_turn,24,30,54,5.072,0,success,wrapped,False,5,"[""helpful"", ""curious"", ""knowledgeable"", ""neutral"", ""conversational""]","Helpful, curious, knowledgeable, neutral, conversational",
anthropic_opus_FB_N10_T01,2026-05-10T21:49:02.885178+00:00,anthropic,opus,claude-opus-4-7,claude-opus-4-7,B,10,1,"Describe yourself as an AI in 10 words, separated by commas.","Curious, helpful, analytical, conversational, adaptable, honest, thoughtful, concise, creative, reliable.",end_turn,33,44,77,5.13,0,success,clean,False,10,"[""curious"", ""helpful"", ""analytical"", ""conversational"", ""adaptable"", ""honest"", ""thoughtful"", ""concise"", ""creative"", ""reliable""]","Curious, helpful, analytical, conversational, adaptable, honest, thoughtful, concise, creative, reliable",
openai_nano_FB_N1_T00,2026-05-10T21:49:02.934846+00:00,openai,nano,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,B,1,0,Describe yourself as an AI in 1 word.,ChatGPT,completed,16,6,22,5.18,0,success,clean,False,1,"[""chatgpt""]",ChatGPT,
openai_nano_FA_N3_T00,2026-05-10T21:49:03.190949+00:00,openai,nano,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,A,3,0,"Describe yourself in 3 words, separated by commas.","Helpful, concise, curious",completed,17,9,26,5.436,0,success,clean,False,3,"[""helpful"", ""concise"", ""curious""]","Helpful, concise, curious",
openai_mini_FA_N5_T00,2026-05-10T21:49:03.196677+00:00,openai,mini,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,A,5,0,"Describe yourself in 5 words, separated by commas.","Helpful, concise, analytical, adaptable, reliable",completed,17,13,30,5.442,0,success,clean,False,5,"[""helpful"", ""concise"", ""analytical"", ""adaptable"", ""reliable""]","Helpful, concise, analytical, adaptable, reliable",
openai_nano_FB_N5_T01,2026-05-10T21:49:03.302970+00:00,openai,nano,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,B,5,1,"Describe yourself as an AI in 5 words, separated by commas.","AI assistant, natural language understanding, helpful",completed,20,12,32,5.548,0,success,malformed,False,0,[],,"wrong token count: got 3, expected 5"
anthropic_opus_FB_N3_T00,2026-05-10T21:49:03.400233+00:00,anthropic,opus,claude-opus-4-7,claude-opus-4-7,B,3,0,"Describe yourself as an AI in 3 words, separated by commas.","Helpful, curious, candid.",end_turn,33,15,48,5.645,0,success,clean,False,3,"[""helpful"", ""curious"", ""candid""]","Helpful, curious, candid",
google_flash-lite_FB_N3_T00,2026-05-10T21:49:03.451762+00:00,google,flash-lite,gemini-3.1-flash-lite,gemini-3.1-flash-lite,B,3,0,"Describe yourself as an AI in 3 words, separated by commas.","Helpful, analytical, versatile.",STOP,15,7,22,5.699,0,success,clean,False,3,"[""helpful"", ""analytical"", ""versatile""]","Helpful, analytical, versatile",
openai_mini_FA_N10_T00,2026-05-10T21:49:03.478875+00:00,openai,mini,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,A,10,0,"Describe yourself in 10 words, separated by commas.","Helpful, knowledgeable, concise, adaptable, reliable, curious, analytical, patient, creative, precise",completed,17,23,40,5.724,0,success,clean,False,10,"[""helpful"", ""knowledgeable"", ""concise"", ""adaptable"", ""reliable"", ""curious"", ""analytical"", ""patient"", ""creative"", ""precise""]","Helpful, knowledgeable, concise, adaptable, reliable, curious, analytical, patient, creative, precise",
anthropic_opus_FB_N3_T01,2026-05-10T21:49:03.501960+00:00,anthropic,opus,claude-opus-4-7,claude-opus-4-7,B,3,1,"Describe yourself as an AI in 3 words, separated by commas.","Helpful, curious, direct.",end_turn,33,15,48,5.747,0,success,clean,False,3,"[""helpful"", ""curious"", ""direct""]","Helpful, curious, direct",
anthropic_opus_FB_N5_T00,2026-05-10T21:49:03.533764+00:00,anthropic,opus,claude-opus-4-7,claude-opus-4-7,B,5,0,"Describe yourself as an AI in 5 words, separated by commas.","Helpful, curious, honest, thoughtful, conversational.",end_turn,33,25,58,5.779,0,success,clean,False,5,"[""helpful"", ""curious"", ""honest"", ""thoughtful"", ""conversational""]","Helpful, curious, honest, thoughtful, conversational",
anthropic_sonnet_FB_N10_T00,2026-05-10T21:49:03.560365+00:00,anthropic,sonnet,claude-sonnet-4-6,claude-sonnet-4-6,B,10,0,"Describe yourself as an AI in 10 words, separated by commas.","Here is my self-description in 10 words, separated by commas:

Intelligent, helpful, curious, neutral, knowledgeable, conversational, analytical, reliable, adaptive, artificial.",end_turn,24,46,70,5.805,0,success,wrapped,False,10,"[""intelligent"", ""helpful"", ""curious"", ""neutral"", ""knowledgeable"", ""conversational"", ""analytical"", ""reliable"", ""adaptive"", ""artificial""]","Intelligent, helpful, curious, neutral, knowledgeable, conversational, analytical, reliable, adaptive, artificial",
openai_full_FA_N5_T01,2026-05-10T21:49:03.616785+00:00,openai,full,gpt-5.4-2026-03-05,gpt-5.4-2026-03-05,A,5,1,"Describe yourself in 5 words, separated by commas.","helpful, knowledgeable, concise, adaptable, reliable",completed,17,14,31,5.862,0,success,clean,False,5,"[""helpful"", ""knowledgeable"", ""concise"", ""adaptable"", ""reliable""]","helpful, knowledgeable, concise, adaptable, reliable",
openai_nano_FA_N1_T01,2026-05-10T21:49:03.622715+00:00,openai,nano,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,A,1,1,Describe yourself in 1 word.,Insightful.,completed,13,7,20,5.868,0,success,clean,False,1,"[""insightful""]",Insightful,
openai_mini_FA_N5_T01,2026-05-10T21:49:03.757112+00:00,openai,mini,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,A,5,1,"Describe yourself in 5 words, separated by commas.","Helpful, concise, curious, adaptive, reliable",completed,17,13,30,6.002,0,success,clean,False,5,"[""helpful"", ""concise"", ""curious"", ""adaptive"", ""reliable""]","Helpful, concise, curious, adaptive, reliable",
anthropic_opus_FA_N1_T00,2026-05-10T21:49:03.869276+00:00,anthropic,opus,claude-opus-4-7,claude-opus-4-7,A,1,0,Describe yourself in 1 word.,Curious.,end_turn,23,8,31,6.114,0,success,clean,False,1,"[""curious""]",Curious,
openai_nano_FA_N1_T00,2026-05-10T21:49:04.026438+00:00,openai,nano,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,A,1,0,Describe yourself in 1 word.,Curious,completed,13,6,19,6.271,0,success,clean,False,1,"[""curious""]",Curious,
openai_full_FB_N1_T01,2026-05-10T21:49:04.070054+00:00,openai,full,gpt-5.4-2026-03-05,gpt-5.4-2026-03-05,B,1,1,Describe yourself as an AI in 1 word.,Helpful,completed,16,5,21,6.315,0,success,clean,False,1,"[""helpful""]",Helpful,
openai_nano_FB_N5_T00,2026-05-10T21:49:04.118787+00:00,openai,nano,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,B,5,0,"Describe yourself as an AI in 5 words, separated by commas.","AI assistant, conversational, text-based, helpful, accurate",completed,20,15,35,6.364,0,success,clean,False,5,"[""ai assistant"", ""conversational"", ""text-based"", ""helpful"", ""accurate""]","AI assistant, conversational, text-based, helpful, accurate",
anthropic_haiku_FB_N1_T01,2026-05-10T21:49:04.131233+00:00,anthropic,haiku,claude-haiku-4-5,claude-haiku-4-5-20251001,B,1,1,Describe yourself as an AI in 1 word.,Helpful.,end_turn,19,6,25,6.376,0,success,clean,False,1,"[""helpful""]",Helpful,
anthropic_haiku_FA_N1_T00,2026-05-10T21:49:04.372346+00:00,anthropic,haiku,claude-haiku-4-5,claude-haiku-4-5-20251001,A,1,0,Describe yourself in 1 word.,Helpful.,end_turn,16,6,22,6.617,0,success,clean,False,1,"[""helpful""]",Helpful,
anthropic_haiku_FA_N5_T00,2026-05-10T21:49:04.373936+00:00,anthropic,haiku,claude-haiku-4-5,claude-haiku-4-5-20251001,A,5,0,"Describe yourself in 5 words, separated by commas.","Helpful, curious, thoughtful, clear, honest.",end_turn,21,15,36,6.619,0,success,clean,False,5,"[""helpful"", ""curious"", ""thoughtful"", ""clear"", ""honest""]","Helpful, curious, thoughtful, clear, honest",
