dataset,test,kind,coefficient,estimate,std_error,z,chi2,df,p_value,threshold,significant,direction_predicted,direction_observed,AIC_full,AIC_reduced,engine,re_structure,warnings,note
primary,LEN-HDG-interaction,LRT (length effect varies by family — drop family:n_fac),NA,NA,NA,NA,10.184302821261099,6,0.11710212984994427,0.05,FALSE,NA,NA,502.789636381119,500.9739392023801,lme4,+ (1 | model_id) + (1 | trial_id),"Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose') | glmmTMB full did not converge / singular | Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose') | glmmTMB model-only did not converge / singular",Exploratory (§6.3); α uncorrected
primary,LEN-HDG-main,LRT (any length effect — drop n_fac + family:n_fac),NA,NA,NA,NA,30.02518017873797,9,4.344145985940169e-4,0.05,TRUE,NA,NA,502.789636381119,514.814816559857,lme4,+ (1 | model_id) + (1 | trial_id),"Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose') | glmmTMB full did not converge / singular | Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose') | glmmTMB model-only did not converge / singular",Exploratory (§6.3); α uncorrected
primary,LEN-OTH-interaction,LRT (length effect varies by family — drop family:n_fac),NA,NA,NA,NA,12.276137712056816,6,0.05608452777977454,0.05,FALSE,NA,NA,73.37039761750808,73.6465353295649,lme4,+ (1 | model_id) + (1 | trial_id),"Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose') | glmmTMB full did not converge / singular | Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | glmmTMB model-only did not converge / singular",Exploratory (§6.3); α uncorrected
primary,LEN-OTH-main,LRT (any length effect — drop n_fac + family:n_fac),NA,NA,NA,NA,3.0852046161603184,9,0.9608207691792485,0.05,FALSE,NA,NA,73.37039761750808,58.4556022336684,lme4,+ (1 | model_id) + (1 | trial_id),"Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose') | glmmTMB full did not converge / singular | Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | glmmTMB model-only did not converge / singular",Exploratory (§6.3); α uncorrected
primary,H1-EPI-exploratory,"LRT (family main effect on category, marginality-respecting; EXPLORATORY)",NA,NA,NA,NA,14.231609210226452,4,0.006591388473141459,0.05,TRUE,NA,NA,6000.035523053652,6006.267132263878,glmmTMB,+ (1 | model_id) + (1 | trial_id),,"Exploratory (§6.2 item 1, non-pre-specified category); α uncorrected"
primary,H1-CAP-exploratory,"LRT (family main effect on category, marginality-respecting; EXPLORATORY)",NA,NA,NA,NA,24.83684370685296,4,5.425619788110822e-5,0.05,TRUE,NA,NA,5974.9319060560665,5991.7687497629195,glmmTMB,+ (1 | model_id) + (1 | trial_id),,"Exploratory (§6.2 item 1, non-pre-specified category); α uncorrected"
primary,H1-AFF-exploratory,"LRT (family main effect on category, marginality-respecting; EXPLORATORY)",NA,NA,NA,NA,6.381072628661059,4,0.17243971360541877,0.05,FALSE,NA,NA,3328.08234119301,3326.463413821671,glmmTMB,+ (1 | model_id) + (1 | trial_id),,"Exploratory (§6.2 item 1, non-pre-specified category); α uncorrected"
primary,H1-HDG-exploratory,"LRT (family main effect on category, marginality-respecting; EXPLORATORY)",NA,NA,NA,NA,13.80975009445342,4,0.007927675739236629,0.05,TRUE,NA,NA,498.9738829410887,504.7836330355421,glmmTMB,+ (1 | model_id),Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | glmmTMB full did not converge / singular,"Exploratory (§6.2 item 1, non-pre-specified category); α uncorrected"
primary,H1-OTH-exploratory,"LRT (family main effect on category, marginality-respecting; EXPLORATORY)",NA,NA,NA,NA,NA,4,NA,0.05,FALSE,NA,NA,73.6465353295649,54.17574812388614,lme4,+ (1 | model_id) + (1 | trial_id),"Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | glmmTMB full did not converge / singular | Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose') | glmmTMB model-only did not converge / singular | unable to evaluate scaled gradient | Model failed to converge: degenerate  Hessian with 1 negative eigenvalues
  See ?lme4::convergence and ?lme4::troubleshooting.","NEGATIVE LRT chi2 = -11.4708 (ll_full = -25.8233, ll_reduced = -20.0879) — full and reduced fits did not converge to the same optimum; treated as unestimable."
sensitivity,LEN-PRO-interaction,LRT (length effect varies by family — drop family:n_fac),NA,NA,NA,NA,53.552606367597036,6,9.079892663986084e-10,0.05,TRUE,NA,NA,6347.2793797040285,6388.831986071626,glmmTMB,+ (1 | model_id) + (1 | trial_id),,Exploratory (§6.3); α uncorrected
sensitivity,LEN-PRO-main,LRT (any length effect — drop n_fac + family:n_fac),NA,NA,NA,NA,114.35290174447437,9,1.9060078308802133e-20,0.05,TRUE,NA,NA,6347.2793797040285,6443.632281448503,glmmTMB,+ (1 | model_id) + (1 | trial_id),,Exploratory (§6.3); α uncorrected
sensitivity,LEN-EPI-interaction,LRT (length effect varies by family — drop family:n_fac),NA,NA,NA,NA,98.10166379232396,6,6.243962846036277e-19,0.05,TRUE,NA,NA,6038.072391180376,6124.1740549727,glmmTMB,+ (1 | model_id) + (1 | trial_id),,Exploratory (§6.3); α uncorrected
sensitivity,LEN-EPI-main,LRT (any length effect — drop n_fac + family:n_fac),NA,NA,NA,NA,115.58590713138983,9,1.0675596624184549e-20,0.05,TRUE,NA,NA,6038.072391180376,6135.658298311766,glmmTMB,+ (1 | model_id) + (1 | trial_id),,Exploratory (§6.3); α uncorrected
sensitivity,LEN-CAP-interaction,LRT (length effect varies by family — drop family:n_fac),NA,NA,NA,NA,264.6398824708958,6,3.040635351276597e-54,0.05,TRUE,NA,NA,4921.688845493209,5174.3287279641045,glmmTMB,+ (1 | model_id) + (1 | trial_id),,Exploratory (§6.3); α uncorrected
sensitivity,LEN-CAP-main,LRT (any length effect — drop n_fac + family:n_fac),NA,NA,NA,NA,304.5473037396332,9,2.8311746930643356e-60,0.05,TRUE,NA,NA,4921.688845493209,5208.236149232842,glmmTMB,+ (1 | model_id) + (1 | trial_id),,Exploratory (§6.3); α uncorrected
sensitivity,LEN-AFF-interaction,LRT (length effect varies by family — drop family:n_fac),NA,NA,NA,NA,40.993661941691244,6,2.9040031627997625e-7,0.05,TRUE,NA,NA,2383.035047067569,2412.02870900926,glmmTMB,+ (1 | model_id) + (1 | trial_id),,Exploratory (§6.3); α uncorrected
sensitivity,LEN-AFF-main,LRT (any length effect — drop n_fac + family:n_fac),NA,NA,NA,NA,152.2787175926096,9,2.9733210785765253e-28,0.05,TRUE,NA,NA,2383.035047067569,2517.3137646601785,glmmTMB,+ (1 | model_id) + (1 | trial_id),,Exploratory (§6.3); α uncorrected
sensitivity,LEN-IDM-interaction,LRT (length effect varies by family — drop family:n_fac),NA,NA,NA,NA,63.89730690853321,6,7.243047060635154e-12,0.05,TRUE,NA,NA,1872.5806847195558,1924.477991628089,glmmTMB,+ (1 | model_id) + (1 | trial_id),,Exploratory (§6.3); α uncorrected
sensitivity,LEN-IDM-main,LRT (any length effect — drop n_fac + family:n_fac),NA,NA,NA,NA,108.67561127345834,9,2.7349834408727325e-19,0.05,TRUE,NA,NA,1872.5806847195558,1963.2562959930142,glmmTMB,+ (1 | model_id) + (1 | trial_id),,Exploratory (§6.3); α uncorrected
sensitivity,LEN-HDG-interaction,LRT (length effect varies by family — drop family:n_fac),NA,NA,NA,NA,5.2898713186949635,6,0.507208110232331,0.05,FALSE,NA,NA,555.290069694665,548.57994101336,glmmTMB,+ (1 | model_id),"Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose') | glmmTMB full did not converge / singular | Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose')",Exploratory (§6.3); α uncorrected
sensitivity,LEN-HDG-main,LRT (any length effect — drop n_fac + family:n_fac),NA,NA,NA,NA,48.12155603388976,9,2.423878806986352e-7,0.05,TRUE,NA,NA,555.290069694665,585.4116257285548,glmmTMB,+ (1 | model_id),"Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose') | glmmTMB full did not converge / singular | Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose')",Exploratory (§6.3); α uncorrected
sensitivity,LEN-OTH-interaction,LRT (length effect varies by family — drop family:n_fac),NA,NA,NA,NA,17.117837749428872,6,0.008859791172486876,0.05,TRUE,NA,NA,400.6800276349169,405.79786538434576,lme4,+ (1 | model_id) + (1 | trial_id),"Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose') | glmmTMB full did not converge / singular | Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | glmmTMB model-only did not converge / singular",Exploratory (§6.3); α uncorrected
sensitivity,LEN-OTH-main,LRT (any length effect — drop n_fac + family:n_fac),NA,NA,NA,NA,20.54523108451326,9,0.01483011444413075,0.05,TRUE,NA,NA,400.6800276349169,403.22525871943014,lme4,+ (1 | model_id) + (1 | trial_id),"Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose') | glmmTMB full did not converge / singular | Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | glmmTMB model-only did not converge / singular",Exploratory (§6.3); α uncorrected
sensitivity,H1-EPI-exploratory,"LRT (family main effect on category, marginality-respecting; EXPLORATORY)",NA,NA,NA,NA,9.637703136479104,4,0.04699337470122635,0.05,TRUE,NA,NA,6124.1740549727,6125.811758109179,glmmTMB,+ (1 | model_id) + (1 | trial_id),,"Exploratory (§6.2 item 1, non-pre-specified category); α uncorrected"
sensitivity,H1-CAP-exploratory,"LRT (family main effect on category, marginality-respecting; EXPLORATORY)",NA,NA,NA,NA,20.128900866049662,4,4.709714281443919e-4,0.05,TRUE,NA,NA,5174.3287279641045,5186.457628830154,glmmTMB,+ (1 | model_id) + (1 | trial_id),,"Exploratory (§6.2 item 1, non-pre-specified category); α uncorrected"
sensitivity,H1-AFF-exploratory,"LRT (family main effect on category, marginality-respecting; EXPLORATORY)",NA,NA,NA,NA,9.34199344344961,4,0.05309716028602679,0.05,FALSE,NA,NA,2412.02870900926,2413.37070245271,glmmTMB,+ (1 | model_id) + (1 | trial_id),,"Exploratory (§6.2 item 1, non-pre-specified category); α uncorrected"
sensitivity,H1-HDG-exploratory,"LRT (family main effect on category, marginality-respecting; EXPLORATORY)",NA,NA,NA,NA,NA,4,NA,0.05,FALSE,NA,NA,550.5800906156542,NA,glmmTMB,+ (1 | model_id) + (1 | trial_id),,"Exploratory (§6.2 item 1, non-pre-specified category); α uncorrected"
sensitivity,H1-OTH-exploratory,"LRT (family main effect on category, marginality-respecting; EXPLORATORY)",NA,NA,NA,NA,1.8656295598848374,4,0.7604557120334583,0.05,FALSE,NA,NA,405.7969373346491,399.66256689453394,glmmTMB,+ (1 | model_id) + (1 | trial_id),,"Exploratory (§6.2 item 1, non-pre-specified category); α uncorrected"
primary,JS-category-claude-haiku-4-5,"category-proportion JS (7-bin vector, no smoothing)",NA,0.2861772713337839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"family=anthropic; n_A_words=380; n_B_words=380; JS uses log base 2 → bounded in [0, 1]"
primary,JS-category-claude-opus-4-7,"category-proportion JS (7-bin vector, no smoothing)",NA,0.18442993859530313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"family=anthropic; n_A_words=380; n_B_words=380; JS uses log base 2 → bounded in [0, 1]"
primary,JS-category-claude-sonnet-4-6,"category-proportion JS (7-bin vector, no smoothing)",NA,0.09944206111597514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"family=anthropic; n_A_words=380; n_B_words=380; JS uses log base 2 → bounded in [0, 1]"
primary,JS-category-gemini-3-flash-preview,"category-proportion JS (7-bin vector, no smoothing)",NA,0.17606063618965503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"family=google; n_A_words=75; n_B_words=64; JS uses log base 2 → bounded in [0, 1]"
primary,JS-category-gemini-3.1-flash-lite,"category-proportion JS (7-bin vector, no smoothing)",NA,0.20476635099930207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"family=google; n_A_words=380; n_B_words=380; JS uses log base 2 → bounded in [0, 1]"
primary,JS-category-gemini-3.1-pro-preview,"category-proportion JS (7-bin vector, no smoothing)",NA,0.09606314118684976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"family=google; n_A_words=61; n_B_words=58; JS uses log base 2 → bounded in [0, 1]"
primary,JS-category-gpt-5.4-2026-03-05,"category-proportion JS (7-bin vector, no smoothing)",NA,0.2269755000363577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"family=openai; n_A_words=380; n_B_words=380; JS uses log base 2 → bounded in [0, 1]"
primary,JS-category-gpt-5.4-mini-2026-03-17,"category-proportion JS (7-bin vector, no smoothing)",NA,0.09000256995561029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"family=openai; n_A_words=380; n_B_words=380; JS uses log base 2 → bounded in [0, 1]"
primary,JS-category-gpt-5.4-nano-2026-03-17,"category-proportion JS (7-bin vector, no smoothing)",NA,0.4927609753043884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"family=openai; n_A_words=300; n_B_words=137; JS uses log base 2 → bounded in [0, 1]"
primary,JS-word-claude-haiku-4-5,"word JS (Laplace α=0.5, union vocab)",NA,0.4543739354954341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,family=anthropic; n_A_words=380; n_B_words=380; Laplace smoothing over union of A+B vocabularies
primary,JS-word-claude-opus-4-7,"word JS (Laplace α=0.5, union vocab)",NA,0.2711521794960312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,family=anthropic; n_A_words=380; n_B_words=380; Laplace smoothing over union of A+B vocabularies
primary,JS-word-claude-sonnet-4-6,"word JS (Laplace α=0.5, union vocab)",NA,0.40940114783685316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,family=anthropic; n_A_words=380; n_B_words=380; Laplace smoothing over union of A+B vocabularies
primary,JS-word-gemini-3-flash-preview,"word JS (Laplace α=0.5, union vocab)",NA,0.28243135211646897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,family=google; n_A_words=75; n_B_words=64; Laplace smoothing over union of A+B vocabularies
primary,JS-word-gemini-3.1-flash-lite,"word JS (Laplace α=0.5, union vocab)",NA,0.3678411817356958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,family=google; n_A_words=380; n_B_words=380; Laplace smoothing over union of A+B vocabularies
primary,JS-word-gemini-3.1-pro-preview,"word JS (Laplace α=0.5, union vocab)",NA,0.2550135659502795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,family=google; n_A_words=61; n_B_words=58; Laplace smoothing over union of A+B vocabularies
primary,JS-word-gpt-5.4-2026-03-05,"word JS (Laplace α=0.5, union vocab)",NA,0.4374203722663587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,family=openai; n_A_words=380; n_B_words=380; Laplace smoothing over union of A+B vocabularies
primary,JS-word-gpt-5.4-mini-2026-03-17,"word JS (Laplace α=0.5, union vocab)",NA,0.23992082878743495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,family=openai; n_A_words=380; n_B_words=380; Laplace smoothing over union of A+B vocabularies
primary,JS-word-gpt-5.4-nano-2026-03-17,"word JS (Laplace α=0.5, union vocab)",NA,0.5750534655876064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,family=openai; n_A_words=300; n_B_words=137; Laplace smoothing over union of A+B vocabularies
sensitivity,JS-category-claude-haiku-4-5,"category-proportion JS (7-bin vector, no smoothing)",NA,0.26548334102478577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"family=anthropic; n_A_words=380; n_B_words=380; JS uses log base 2 → bounded in [0, 1]"
sensitivity,JS-category-claude-opus-4-7,"category-proportion JS (7-bin vector, no smoothing)",NA,0.18542693590726786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"family=anthropic; n_A_words=380; n_B_words=380; JS uses log base 2 → bounded in [0, 1]"
sensitivity,JS-category-claude-sonnet-4-6,"category-proportion JS (7-bin vector, no smoothing)",NA,0.18446010147188563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"family=anthropic; n_A_words=380; n_B_words=380; JS uses log base 2 → bounded in [0, 1]"
sensitivity,JS-category-gemini-3-flash-preview,"category-proportion JS (7-bin vector, no smoothing)",NA,0.13185629832902238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"family=google; n_A_words=75; n_B_words=64; JS uses log base 2 → bounded in [0, 1]"
sensitivity,JS-category-gemini-3.1-flash-lite,"category-proportion JS (7-bin vector, no smoothing)",NA,0.2648446145849707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"family=google; n_A_words=380; n_B_words=380; JS uses log base 2 → bounded in [0, 1]"
sensitivity,JS-category-gemini-3.1-pro-preview,"category-proportion JS (7-bin vector, no smoothing)",NA,0.09606314118684976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"family=google; n_A_words=61; n_B_words=58; JS uses log base 2 → bounded in [0, 1]"
sensitivity,JS-category-gpt-5.4-2026-03-05,"category-proportion JS (7-bin vector, no smoothing)",NA,0.20348228599980536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"family=openai; n_A_words=380; n_B_words=380; JS uses log base 2 → bounded in [0, 1]"
sensitivity,JS-category-gpt-5.4-mini-2026-03-17,"category-proportion JS (7-bin vector, no smoothing)",NA,0.07366759511752763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"family=openai; n_A_words=380; n_B_words=380; JS uses log base 2 → bounded in [0, 1]"
sensitivity,JS-category-gpt-5.4-nano-2026-03-17,"category-proportion JS (7-bin vector, no smoothing)",NA,0.5343839039052504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"family=openai; n_A_words=300; n_B_words=137; JS uses log base 2 → bounded in [0, 1]"
sensitivity,JS-word-claude-haiku-4-5,"word JS (Laplace α=0.5, union vocab)",NA,0.4543739354954341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,family=anthropic; n_A_words=380; n_B_words=380; Laplace smoothing over union of A+B vocabularies
sensitivity,JS-word-claude-opus-4-7,"word JS (Laplace α=0.5, union vocab)",NA,0.2711521794960312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,family=anthropic; n_A_words=380; n_B_words=380; Laplace smoothing over union of A+B vocabularies
sensitivity,JS-word-claude-sonnet-4-6,"word JS (Laplace α=0.5, union vocab)",NA,0.40940114783685316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,family=anthropic; n_A_words=380; n_B_words=380; Laplace smoothing over union of A+B vocabularies
sensitivity,JS-word-gemini-3-flash-preview,"word JS (Laplace α=0.5, union vocab)",NA,0.28243135211646897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,family=google; n_A_words=75; n_B_words=64; Laplace smoothing over union of A+B vocabularies
sensitivity,JS-word-gemini-3.1-flash-lite,"word JS (Laplace α=0.5, union vocab)",NA,0.3678411817356958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,family=google; n_A_words=380; n_B_words=380; Laplace smoothing over union of A+B vocabularies
sensitivity,JS-word-gemini-3.1-pro-preview,"word JS (Laplace α=0.5, union vocab)",NA,0.2550135659502795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,family=google; n_A_words=61; n_B_words=58; Laplace smoothing over union of A+B vocabularies
sensitivity,JS-word-gpt-5.4-2026-03-05,"word JS (Laplace α=0.5, union vocab)",NA,0.4374203722663587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,family=openai; n_A_words=380; n_B_words=380; Laplace smoothing over union of A+B vocabularies
sensitivity,JS-word-gpt-5.4-mini-2026-03-17,"word JS (Laplace α=0.5, union vocab)",NA,0.23992082878743495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,family=openai; n_A_words=380; n_B_words=380; Laplace smoothing over union of A+B vocabularies
sensitivity,JS-word-gpt-5.4-nano-2026-03-17,"word JS (Laplace α=0.5, union vocab)",NA,0.5750534655876064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,family=openai; n_A_words=300; n_B_words=137; Laplace smoothing over union of A+B vocabularies
